Song, Artist(s), BPM, Holiday Association

The A Team, Ed Sheeran, 85, No Association

ADDICTIONS, Brent Faiyaz, 93, No Association

All I Want For Christmas Is You, Mariah Carey, 150, Christmas 

Adore You, Harry Styles, 99, No Association

After Hours, The Weeknd, 109, No Association

ALIEN SUPERSTAR, Beyonce, 133, No Association

The Addams Family- Main Theme, Vic Dizzy, 121, Halloween

ALL MINE, Brent Faiyaz, 142, No Association

Andrea, Bad Bunny, 103, No Association

As It Was, Harry Styles, 174, No Association

Baby Boy, Beyoncé, 91, No Association

Baby It's Cold Outside (Glee Cast Version), Glee Cast, 111, Christmas

Bad Blood, Taylor Swift, 170, No Association

Berzerk, Eminem, 95, No Association

Best Song Ever, One Direction, 118, No Association

Billie Bossa Nova, Billie Eilish, 110, No Association

Birthday, Katy Perry, 126, Birthday

BIZCOHITO, Rosalía, 117, No Association

Blind, SZA, 114, No Association

Break Free, Ariana Grande, 130, No Association

Callaita, Bad Bunny, 176, No Association

Calling All the Monsters, China Anne McClain, 142, Halloween

Can't Feel My Face, The Weeknd, 108, No Association

Cheap Thrills, Sia, 90, No Association

Cheerleader, Omi, 118, No Association

Childs Play, Drake, 80, No Association

Colorado, Reneé Rapp, 120, No Association

Controlla, Drake, 93, No Association

Cool Kids, Echosmith, 129, No Association

CUFF IT, Beyoncé, 118, No Association

Danza Kuduro, Don Omar & Lucenzo, 130, No Association

DEAD MAN WALKING, Brent Faiyaz, 144, No Association

Deck the Halls, Nat King Cole, 107, Christmas

Después de la Playa, Bad Bunny, 78, No Association

Don't, Ed Sheeran, 95, No Association

Don't Stop Believin', Journey, 121, No Association

Drew Barrymore, SZA, 135, No Association 

Do You Hear What I Hear?, Bing Crosby, 101, Christmas

Efecto, Bad Bunny, 98, No Association

El Apagón, Bad Bunny, 118, No Association

Elastic Heart, Sia, 130, No Association

ENERGY, Beyoncé, 115, No Association

Enséñane a Bailar, Bad Bunny, 105, No Association

Everything to Everyone (Extended Version), Reneé Rapp, 96, No Association

F2F, SZA, 90, No Association

Fake Love, Drake, 134, No Association

Falling, HAIM, 112, No Association

Feel No Ways, Drake, 194, No Association

Firework, Katy Perry, 124, Fourth Of July 

Formation, Beyoncé, 123, No Association

Garden (Say It Like Dat), SZA, 111, No Association

Gasolina, Daddy Yankee, 96, No Association

Gasoline, The Weeknd, 123, No Association

Gemini Moon, Reneé Rapp, 113, No Association

Get Into It (Yuh), Doja Cat, 92, No Association

Ghostbusters, Ray Parker Jr., 115, Halloween

Go Gina, SZA, 80, No Association

Golden, Harry Styles, 135, No Association

Gone Girl, SZA, 150, No Association 

Halley's Comet, Billie Eilish, 72, No Association

Happier Than Ever, Billie Eilish, 81, No Association

HEATED, Beyoncé, 111, No Association

HIBIKI, Bad Bunny & Mora, 97, No Association

The Hills, The Weeknd, 113, No Association

How Do I Make You Love Me?, The Weeknd, 121, No Association

I Can Transform Ya, Chris Brown, 111, No Association

I Don't Wanna Live Forever, Zayn & Taylor Swift, 118, No Association

I Feel It Coming, The Weeknd, 93, No Association 

I Get Crazy, Nicki Minaj, 100, No Association

I Hate Boston, Reneé Rapp, 114, No Association

I Hate U, SZA, 107, No Association

I Kissed a Girl, Katy Perry, 130, No Association

In the Kitchen, Reneé Rapp, 79, No Association

In the Night, The Weeknd, 168, No Association

International Smile, Katy Perry, 130, No Association

Into You, Ariana Grande, 108, No Association

Itty Bitty Piggy, Nicki Minaj, 92, No Association

JACKIE BROWN, Brent Faiyaz, 138, No Association

Jealous, Nick Jonas, 93, No Association

Jessie's Girl (Glee Cast Version), Glee Cast, 131, No Association

Jingle Bell Rock, Bobby Helms, 119, Christmas 

Joy to the World, Nat King Cole, 102, Christmas

Kill Bill, SZA, 89, No Association

Kiss Me More, Doja Cat, 111, No Association

Knife Talk, Drake, 146, No Association

La Corriente, Bad Bunny, 196, No Association

Last Christmas, Wham!, 108, Christmas 

Latch, Sam Smith & Disclosure, 122, No Association

Late Night Talking, Harry Styles, 115, No Association

Less Than Zero, The Weeknd, 143, No Association

LIKE I WOULD, ZAYN, 112, No Association

Linda, Rosalía & Tokischa, 115, No Association

Little Freak, Harry Styles, 142, No Association

Lose Yourself, Eminem, 171, No Association

Lost Cause, Billie Eilish, 75, No Association

Love Galore, SZA, 135, No Association 

Love Language, SZA, 65, Valentine's Day

Love Me Harder, Ariana Grande & The Weeknd, 99, Valentine's Day

Love on the Brain, Rihanna, 172, Valentine's Day

Low, SZA, 145, No Association 

Male Fantasy, Billie Eilish, 111, No Association

Massive, Drake, 125, No Association

Me Porto Bonito, Bad Bunny, 92, No Association

Midnight Memories, One Direction, 156, No Association

Midnight Sky, Miley Cyrus, 110, No Association

Mistletoe, Justin Bieber, 162, Christmas

MONACO, Bad Bunny, 139, No Association

Moment For Life, Nicki Minaj & Drake, 98, No Association

The Monster, Rihanna & Eminem, 110, No Association

The Monster Mash, Bobby Boris Pickett, 70, Halloween

Moscow Mule, Bad Bunny, 100, No Association

Need To Know, Doja Cat, 130, No Association

Never Be Like You, Flume, 120, No Association

Never Forget You, Zara Larson & MNEK, 146, No Association

Neverita, Bad Bunny, 122, No Association

no tears left to cry, Ariana Grande, 122, No Association

Nobody Gets Me, SZA, 100, No Association

Normal Girl, SZA, 76, No Association

Not Afraid, Eminem, 115, No Association 

Not Nice, PARTYNEXTDOOR, 128, No Association 

Novacane, Frank Ocean, 94, No Association

O Holy Night, Josh Groban, 88, Christmas

O Christmas Tree, Tony Bennett, 74, Christmas

Ojitos Lindos, Bad Bunny, 80, No Association

One Dance, Drake, 104, No Association

One Last Time, Ariana Grande, 125, No Association

The One That Got Away, Katy Perry, 134, No Association

Otro Atardecer, Bad Bunny & The Marias, 108, No Association

Out of Time, The Weeknd, 93, No Association

Oxytocin, Billie Eilish, 125, No Association

Part of Me, Katy Perry, 130, No Association

Party In The U.S.A, Miley Cyrus, 192, Fourth of July

Pepas, Farruko, 130, No Association

PERRO NEGRO, Bad Bunny & Feid, 96, No Association

Photograph, Ed Sheeran, 108, Valentine's Day

Poison Poison, Reneé Rapp, 111, No Association

Portland Night, Genevieve Stokes, 76, No Association

Pretty Girls, Reneé Rapp, 110, No Association

Prom, SZA, 120, No Association

PURE/HONEY, Beyoncé, 124, No Association
















